性别,测试时段,专业,年龄,第一题作答,第一题答案,第二题作答,第二题答案,第三题作答,第三题答案,第四题作答,第四题答案,第五题作答,第五题答案,第六题作答,第六题答案,?,,,,,,,,,,
男,,机器人工程,19,13524119383247,13524119383247,15691115212123,15691114122123,70253231965247,70273232965563,98681608197104,98680686942418,59794112759079,59354167955219,45972922199123,45729489385976,,,,,,,,,,,
男,,生物科学,20,13524119528247,13524119383247,15691114122123,15691114122123,226212146,22621217678470,233505,23350568751059,45675552194561,59354167955219,45991,45729489385976,,,,,,,,,,,
男,,计算机工程,19,13524119383247,13524119383247,15691114122123,15691114122123,70272332965563,70273232965563,98690694861918,98680686942418,59354217955219,59354167955219,45329479385976,45729489385976,,,,,,,,,,,
女,,计算机工程,20,13524193387257（回忆时写）,13524119383247,15691112433123,15691114122123,70270345125563,70273232965563,98624700002418,98680686942418,59354167955279,59354167955219,45789326941379,45729489385976,,,,,,,,,,,
男,,机器人工程,19,13524119383247,13524119383247,15911141221123,15691114122123,702723235656,70273232965563,9868086870,98680686942418,5939476179,59354167955219,400823823,45729489385976,,,,,,,,,,,
男,,机器人工程,19,13924119383267,13524119383247,1562111123,15691114122123,70274239635564,70273232965563,986802867,98680686942418,59354667594219,59354167955219,45795976483279,45729489385976,,,,,,,,,,,
女,,生物医学工程,20,1352411988888,13524119383247,15691114133123,15691114122123,70273232,70273232965563,98680686,98680686942418,592759219,59354167955219,45976976,45729489385976,,,,,,,,,,,
男,晚上,计算机工程,19,15691114122123,15691114122123,13524119383247,13524119383247,23350568751059,23350568751059,63512873812148,63813568673218,59354167955219,59354167955219,4572945738976,45729489385976,,,,,,,,,,,
男,,生物医学工程,19,13524119383247,13524119383247,15691114423123,15691114122123,2461212,22621217678470,233059,23350568751059,,59354167955219,,45729489385976,,,,,,,,,,,
男,中午,数学与应用数学,20,13524719383241,13524119383247,1459114121123,15691114122123,72913811,72942711282195,7291138,72942711382195,952,59354167955219,45729,45729489385976,,,,,,,,,,,
男,晚上,计算机科学与技术,19,1314099901107,13144399100107,156911423223,1561114122123,7294271138295,72942711382195,6351282373218,63812568673218,59354127955419,59354167955219,4593821759416,45729489385976,,,,,,,,,,,
女,晚上,计算机科学与技术,20,1511174123,15691114122123,13524119383247,13524119383247,27678470,22621217678470,1195,72942711382195,5935416795579,59354167955219,4576938538976,45729489385976,,,,,,,,,,,
男,晚上,数学与应用数学,19,15691114122123,15691114122123,13524119383247,13524119383247,2335056876,23350568751059,72942711382195,72942711382195,59354167955219,59354167955219,45729489385576,45729489385976,,,,,,,,,,,
男,晚上,光电信息工程,20,13524119383247,13524119383247,15691114156123,15691114122123,2262211670,22621217678470,729411381195,72942711382195,59234267,59354167955219,4529,45729489385976,,,,,,,,,,,
女,,数,19,13524119383247,13524119383247,15691114122123,15691114122123,70273232965563,70273232965563,28849347728254,28849347728254,59354167415219,59354167955219,45729489385976,45729489385976,附加题满分,,,,,,,,,,
